' Converted from : background.c
' Sprite size    : 25 x 25  (1 frame)
' Palette        : $000,$00F,$0F0,$F00,$FF0,$0FF,$F0F,$FFF
'                  black,blue,green,red,yellow,teal,pink,white

    Data 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
    Data 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
    Data 1,1,0,1,1,1,1,1,1,1,1,1,4,1,1,1,1,0,1,1,7,7,1,1,1
    Data 1,1,0,1,1,1,1,1,1,4,1,1,1,1,1,4,1,0,1,7,7,7,7,7,1
    Data 1,1,0,1,1,1,1,1,1,1,1,4,4,4,1,1,1,0,7,7,7,7,7,7,7
    Data 1,1,0,1,1,1,1,1,1,1,4,4,4,4,4,1,1,0,1,1,1,1,1,1,1
    Data 1,1,0,0,0,0,0,1,4,1,4,4,4,4,4,1,4,0,1,1,5,1,1,1,5
    Data 1,1,1,1,1,1,0,1,1,1,4,4,4,4,4,1,1,0,1,1,1,1,5,1,1
    Data 1,7,7,7,1,1,0,1,1,1,1,4,4,4,1,1,1,0,1,1,1,1,1,1,1
    Data 7,7,7,7,7,1,0,1,1,4,1,1,1,1,1,4,1,0,1,5,1,1,5,1,1
    Data 7,7,7,7,7,7,0,1,1,1,1,1,4,1,1,1,1,0,1,1,1,1,1,1,1
    Data 1,5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,5,1,1,1
    Data 1,1,1,5,1,5,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
    Data 5,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1
    Data 1,1,1,1,5,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1
    Data 1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1
    Data 1,5,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
    Data 1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1
    Data 1,1,0,1,1,0,1,2,2,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1
    Data 1,1,0,0,0,0,2,2,2,2,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1
    Data 1,1,1,1,1,2,2,2,2,2,2,1,0,1,1,1,1,1,0,1,1,1,1,1,1
    Data 1,1,1,1,2,2,2,2,2,2,2,2,0,0,1,1,1,1,0,1,2,2,1,1,1
    Data 1,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,1,1
    Data 2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
    Data 2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
